city,state,energy_burden,household_income,avg_annual_energy_cost,risk_label
La Verne,California,2.0,134399.0,2636.0,0
Lawndale,California,2.0,93697.0,1908.0,0
Lemon Grove,California,2.0,102376.0,2247.0,0
Lemoore,California,3.0,90034.0,2540.0,1
Lincoln,California,2.0,134106.0,2855.0,0
Lindsay,California,4.0,60823.0,2734.0,1
Live Oak,California,1.0,166858.0,2267.0,0
Live Oak,California,3.0,88553.0,3048.0,1
Livermore,California,1.0,201316.0,2835.0,0
Livingston,California,3.0,80937.0,2465.0,1
Lodi,California,2.0,102762.0,2317.0,0
Loma Linda,California,2.0,92634.0,2014.0,0
Lomita,California,2.0,150658.0,2281.0,0
Lompoc,California,2.0,85612.0,2024.0,0
Long Beach,California,2.0,108236.0,1769.0,0
Loomis,California,2.0,150342.0,3148.0,0
Los Alamitos,California,1.0,140701.0,1941.0,0
Los Altos,California,1.0,400389.0,3590.0,0
Los Altos Hills,California,1.0,417258.0,4210.0,0
Los Angeles,California,2.0,119099.0,2024.0,0
Los Banos,California,3.0,91102.0,2743.0,1
Los Gatos,California,1.0,337831.0,3420.0,0
Lynwood,California,2.0,87713.0,1871.0,0
McFarland,California,4.0,66910.0,2436.0,1
Madera,California,3.0,85199.0,2699.0,1
Malibu,California,2.0,278650.0,4870.0,0
Mammoth Lakes,California,3.0,100856.0,2822.0,1
Manhattan Beach,California,1.0,258485.0,2316.0,0
Manteca,California,3.0,108995.0,2800.0,1
Marina,California,2.0,118015.0,2130.0,0
Martinez,California,2.0,160012.0,2546.0,0
Marysville,California,3.0,68919.0,2351.0,1
Maywood,California,2.0,72249.0,1601.0,0
Mendota,California,5.0,49136.0,2374.0,1
Menifee,California,2.0,110168.0,2503.0,0
Menlo Park,California,1.0,350839.0,3668.0,0
Merced,California,3.0,74823.0,2313.0,1
Millbrae,California,1.0,291518.0,3291.0,0
Mill Valley,California,1.0,355451.0,3350.0,0
Milpitas,California,1.0,228528.0,2563.0,0
Mission Viejo,California,1.0,171282.0,2535.0,0
Modesto,California,2.0,99622.0,2390.0,0
Monrovia,California,2.0,131399.0,2433.0,0
Montclair,California,2.0,97057.0,2394.0,0
Montebello,California,2.0,97783.0,1804.0,0
Monterey,California,2.0,135392.0,2047.0,0
Monterey Park,California,2.0,103092.0,1741.0,0
Monte Sereno,California,1.0,398828.0,3901.0,0
Moorpark,California,1.0,179982.0,2670.0,0
Moraga,California,1.0,287094.0,3683.0,0
Moreno Valley,California,3.0,96919.0,2691.0,1
Morgan Hill,California,2.0,206662.0,3114.0,0
Morro Bay,California,1.0,112080.0,1606.0,0
Mountain View,California,2.0,154427.0,2536.0,0
Mountain View,California,1.0,291723.0,2216.0,0
