zcta,median_household_income,housing_age
2874,159861,40
2878,106036,54
2879,112231,49
2881,56472,50
2882,95721,51
2885,90729,76
2886,92047,60
2888,91867,71
2889,83946,66
2891,97110,53
2892,135809,39
2893,77608,58
2895,61059,74
2896,108983,55
2898,119038,41
2903,64476,71
2904,67003,56
2905,62908,88
2906,103050,88
2907,52485,88
2908,73081,84
2909,64649,88
2910,90698,80
2911,89456,68
2914,61191,68
2915,84414,65
2916,95263,73
2917,110938,47
2919,91775,58
2920,80717,64
2921,147204,38
3031,153125,48
3032,153253,42
3033,171046,33
3034,131350,47
3036,142212,35
3037,130371,41
3038,108322,43
3042,104220,37
3043,104063,45
3044,120781,38
3045,119205,43
3046,124348,36
3047,103603,45
3048,90451,49
3049,168883,47
3051,124213,43
3052,162036,39
3053,134038,41
3054,127303,41
3055,97768,44
3057,156250,48
3060,79855,67
3062,107540,43
3063,107630,45
3064,96393,73
3070,154000,37
3071,110507,40
3076,135956,39
3077,104597,43
3079,110490,49
3082,120313,44
3084,94107,44
3086,113750,53
3087,189583,30
3101,84434,54
3102,74327,57
3103,73540,65
3104,88897,66
3106,118442,38
3109,108144,39
3110,167418,36
3215,105625,42
3216,88311,47
3217,54607,48
3218,112500,40
3220,68242,43
3221,109803,55
3222,81587,45
3223,118534,42
3224,138125,43
3225,111660,41
3226,107500,44
3227,146917,67
3229,137386,58
3230,71685,49
3233,120156,54
3234,97941,40
3235,71775,67
3237,111359,48
3238,47067,78
3240,81563,43
3241,91375,47
3242,95206,52
3243,83333,48
3244,86375,51
3245,107863,45
3246,73241,52
3249,116635,43
3251,70625,40
3253,84719,51
3254,106440,40
3255,117045,38
3256,87917,36
3257,107000,47
3258,108906,38
3259,84872,51
3260,117000,51
3261,129375,55
3262,85667,43
3263,74318,46
3264,76892,46
3266,76071,48
3268,111818,44
3269,107083,40
3273,187979,88
3275,82910,51
3276,82425,51
3278,94783,51
3279,70313,47
3280,90096,43
3281,118271,40
3282,98333,42
3284,113158,40
3285,90022,42
3287,117759,38
3290,122201,34
3293,86250,66
3301,86840,63
3303,80456,45
3304,172857,41
3307,107226,38
3431,79541,65
3440,88889,52
3441,53816,88
3442,83875,48
3444,104773,58
3445,106667,47
3446,85484,44
3447,100735,59
3448,80417,54
3449,92708,56
3450,103036,61
3451,69191,54
3452,92330,53
3455,69395,51
3456,110455,45
3457,100625,49
3458,98684,55
3461,102679,42
3462,115313,42
3464,93625,49
3465,88871,55
3466,83281,51
3467,104444,51
3470,79028,45
3561,56746,54
3570,45180,86
3574,81250,53
3576,52682,46
3579,61000,47
3580,91250,44
3581,64127,54
3582,46250,66
3583,67188,38
3584,66768,71
3585,68594,50
3586,154091,60
3588,71538,49
3590,52803,52
3592,61094,41
3593,101750,63
3595,64762,48
3597,56010,44
3598,67179,53
3601,81250,51
3602,70455,51
3603,56731,48
3605,86250,49
3607,84306,75
3608,88224,53
3609,72391,82
3740,67813,47
3741,82181,50
3743,59625,69
3745,91821,46
3748,95089,43
3750,250001,49
3752,70417,55
3753,106285,39
3755,165884,51
3765,79625,43
3766,100881,47
3768,133906,49
3770,153750,58
3771,88150,49
3773,81232,57
3774,58452,50
3777,92571,55
3779,80000,51
3780,189550,29
3781,109659,47
3782,110175,52
3784,91000,46
3785,57902,55
3801,106756,66
3809,106397,46
3810,148261,54
3811,146380,46
3813,56951,41
3814,77138,49
3816,88971,42
3818,77134,42
3819,112335,33
3820,94897,50
3823,148365,42
3824,124056,45
3825,110323,39
3826,121184,28
3827,142794,35
3830,99960,47
3832,79063,48
3833,119393,43
3835,66982,49
3836,66136,43
3837,119712,39
3838,68385,42
3839,88346,39
3840,162837,39
3841,104044,42
3842,95422,48
3844,165509,46
3845,57320,46
3846,117986,46
3848,105330,44
3849,96439,44
3850,101298,53
3851,93412,46
3852,154583,67
3853,103900,57
3854,176953,51
3855,100194,43
3856,197885,35
3857,100845,43
3858,138487,43
3860,71759,45
3861,131579,39
3862,144583,41
3864,104485,40
3865,108317,48
3867,78674,53
3868,81530,40
3869,87215,58
3870,140938,53
3871,142115,62
3872,109583,45
3873,135040,40
3874,82995,40
3875,115583,42
3878,75136,60
3882,76607,44
3883,67679,50
3884,122105,41
3885,151998,40
3886,74450,51
3887,91875,47
3894,94349,44
3901,94771,37
3902,133676,47
3903,101522,47
3904,85084,59
3905,140730,70
3906,105156,43
3907,114259,48
3908,98289,44
3909,115608,49
3911,156299,74
4001,78750,52
4002,84537,46
4003,96250,60
4005,74647,70
4008,108479,41
4009,78021,41
4010,60889,39
4011,74952,44
4015,69313,38
4017,67639,88
4019,89712,88
4020,69038,50
4021,172468,44
4022,64167,46
4024,52917,51
4027,97750,37
4029,77813,52
4030,72548,53
4032,107326,42
4037,54414,47
4038,112312,38
4039,95125,42
4040,57218,45
4041,62813,50
4042,95950,49
4043,107804,43
4046,102529,40
4047,72045,49
4048,101172,32
4049,84675,40
4050,91250,88
4051,80625,41
4055,78188,38
4056,57083,88
4061,94023,32
4062,107934,41
4063,61667,55
4064,59887,43
4066,115547,73
4068,60417,48
4069,104333,55
4071,88722,47
4072,92241,44
4073,72917,50
4074,135018,38
4076,88140,47
4079,91969,46
4083,72207,56
4084,109345,46
4085,92246,46
4086,91028,46
4087,98105,43
4088,63750,43
4090,88024,37
4091,78750,34
4092,85038,51
4093,100144,45
4095,57206,48
4096,110216,53
4097,129267,43
4101,63880,88
